book_id,publishing_year,title,author,book_average_rating,book_ratings_count,genre,gross_sales,publisher_revenue,sale_price,publisher,units_sold,sales_rank,company_revenue,sales_month
119,2006,"Definitely Dead (Sookie Stackhouse, #6)",Charlaine Harris,4.02,163054,genre fiction,6525.0,3915.0,7.5,Simon and Schuster Digital Sales Inc,870,305,2610.0,1
120,1995,Ensaio Sobre a Cegueira,"JosÃ© Saramago, Giovanni Pontiero",4.08,98738,genre fiction,3451.35,0.0,3.99,"Amazon Digital Services,  Inc.",865,306,3451.35,1
121,2010,Freedom,Jonathan Franzen,3.73,119213,genre fiction,6871.4,4122.84,7.99,Random House LLC,860,307,2748.56,1
122,2011,Crossed,Ally Condie,3.52,100886,genre fiction,841.5,504.9,0.99,"Amazon Digital Services,  Inc.",850,308,336.6,1
123,2006,"I'd Tell You I Love You, But Then I'd Have to Kill You",Ally Carter,3.82,150222,genre fiction,10131.55,6078.93,11.99,Hachette Book Group,845,309,4052.62,1
124,2008,The White Tiger,Aravind Adiga,3.71,114531,genre fiction,6711.6,4026.96,7.99,Random House LLC,840,310,2684.64,1
125,2001,The Corrections,Jonathan Franzen,3.78,117657,genre fiction,816.75,0.0,0.99,"Amazon Digital Services,  Inc.",825,311,816.75,1
126,1995,Dreams from My Father,Barack Obama,3.81,128961,nonfiction,1641.75,985.05,1.99,HarperCollins Publishers,825,311,656.7,1
127,1980,Congo,Michael Crichton,3.55,129811,nonfiction,5696.85,3418.11,6.99,Random House LLC,815,312,2278.74,1
128,1972,"Alexander and the Terrible, Horrible, No Good, Very Bad Day","Judith Viorst, Ray Cruz",4.22,146073,genre fiction,2421.9,0.0,2.99,"Amazon Digital Services,  Inc.",810,313,2421.9,1
129,1999,Interpreter of Maladies,Jhumpa Lahiri,4.12,110651,genre fiction,8573.25,5143.95,10.65,Penguin Group (USA) LLC,805,314,3429.3,1
130,1980,A People's History of the United States: 1492 to Present ,Howard Zinn,4.07,137372,genre fiction,3192.0,0.0,3.99,"Amazon Digital Services,  Inc.",800,315,3192.0,1
131,1958,Breakfast at Tiffany's,Truman Capote,3.89,129778,genre fiction,792.0,475.2,0.99,"Amazon Digital Services,  Inc.",800,315,316.8,1
132,2010,The Passage,Justin Cronin,4.04,126993,genre fiction,3172.05,0.0,3.99,"Amazon Digital Services,  Inc.",795,316,3172.05,1
133,2005,Anansi Boys,Neil Gaiman,4.0,137639,nonfiction,1572.1,943.26,1.99,"Amazon Digital Services,  Inc.",790,317,628.84,1
134,2009,Along for the Ride,Sarah Dessen,4.08,151721,genre fiction,9412.15,5647.29,11.99,Penguin Group (USA) LLC,785,318,3764.86,1
135,2014,Everything I Never Told You,Celeste Ng,3.78,108703,genre fiction,3112.2,0.0,3.99,"Amazon Digital Services,  Inc.",780,319,3112.2,1
136,1982,La casa de los espÃ­ritus,"Isabel Allende, Magda Bogin",4.2,119930,genre fiction,8269.25,4961.55,10.67,Simon and Schuster Digital Sales Inc,775,320,3307.7,1
137,1979,The Dead Zone,Stephen King,3.9,132723,genre fiction,1512.4,907.44,1.99,HarperCollins Publishers,760,321,604.96,1
138,1920,The Mysterious Affair at Styles,"Agatha Christie, Î¡Î¿Î¶Î¯Ï„Î± Î£ÏŽÎºÎ¿Ï…",3.98,135514,genre fiction,3012.45,0.0,3.99,"Amazon Digital Services,  Inc.",755,322,3012.45,1
139,1934,Murder in the Calais Coach,Agatha Christie,4.16,138444,genre fiction,3742.5,0.0,4.99,"Amazon Digital Services,  Inc.",750,323,3742.5,1
140,2013,Americanah,Chimamanda Ngozi Adichie,4.26,113252,genre fiction,2992.5,0.0,3.99,"Amazon Digital Services,  Inc.",750,323,2992.5,1
141,2001,Suzanne's Diary for Nicholas,James Patterson,4.16,121398,genre fiction,3717.55,2230.53,4.99,Random House LLC,745,324,1487.02,1
142,1980,Firestarter,Stephen King,3.85,142213,genre fiction,2952.6,1771.56,3.99,Macmillan,740,325,1181.04,1
143,2013,Entwined with You,Sylvia Day,4.19,141641,genre fiction,727.65,0.0,0.99,"Amazon Digital Services,  Inc.",735,326,727.65,1
144,2009,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",Christopher McDougall,4.27,109642,genre fiction,3642.7,0.0,4.99,"Amazon Digital Services,  Inc.",730,327,3642.7,1
